vendor,model,model_series,reasoning_effort,n_records,n_calls,n_success_dashboard,n_failure_dashboard,n_excluded_dashboard,n_unfinalized_dashboard,success_rate_dashboard,failure_rate_dashboard,success_rate_over_all_calls,failure_rate_over_all_calls,n_success_is_success,n_fail_is_success,n_http_2xx,n_http_4xx_plus,n_status_null,group_min_created_at_cst,group_max_created_at_cst,sum_input_tokens,sum_cache_read_tokens,sum_cache_write_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_cache_read_tokens,avg_cache_write_tokens,avg_output_tokens,avg_total_tokens,sum_cost_usd,avg_cost_usd,avg_cost_success_dashboard,avg_cost_failure_dashboard,avg_cost_success_flag,avg_cost_failure_flag,sum_cost_input_base,sum_cost_cache_read_base,sum_cost_cache_write_base,sum_cost_output_base,sum_cost_input_billed,sum_cost_cache_read_billed,sum_cost_cache_write_billed,sum_cost_output_billed,sum_cost_breakdown_total,n_with_cost_breakdown,n_without_cost_breakdown,cache_hit_rate_token_weighted,cache_hit_rate_request_avg,p50_cost_usd,p90_cost_usd,max_cost_usd,stddev_cost_usd,p50_input_tokens,p90_input_tokens,max_input_tokens,stddev_input_tokens,p50_cache_read_tokens,p90_cache_read_tokens,max_cache_read_tokens,stddev_cache_read_tokens,p50_cache_write_tokens,p90_cache_write_tokens,max_cache_write_tokens,stddev_cache_write_tokens,p50_output_tokens,p90_output_tokens,max_output_tokens,stddev_output_tokens,p50_duration_ms,p90_duration_ms,max_duration_ms,stddev_duration_ms,p50_ttfb_ms,p90_ttfb_ms,max_ttfb_ms,stddev_ttfb_ms,n_duration_null,n_input_null,n_output_null,n_cache_read_null,n_cache_write_null,n_cost_null,n_cost_zero,n_cost_negative,n_negative_tokens,n_price_cloud_official,n_price_cloud_exact,n_price_local_manual,n_price_priority_fallback,n_price_source_null,most_common_price_source
openai,gpt-5.6-sol,gpt-sol,high,127618,127618,121503,4137,1928,50,0.967073,0.032927,0.952084,0.032417,121569,6049,121529,6039,50,2026-08-06 08:02:06,2026-09-19 16:15:20,2483567859,13036608902,12228534,54929358,15587334653,19460.952679,102153.371013,95.821389,430.420144,122140.565226,29539.0889605500,0.2314649106,0.2428816260,0.0040639203,0.2428172266,0.0033131997,12190.0194060000,6552.3271041000,68.8066475000,1580.9324600000,17731.8232850000,9303.1705908000,111.2087562500,2389.2980925000,29535.5007245500,121567,6051,0.839317,0.829025,0.1245980000,0.5055662950,15.7090675000,0.3555689062,2314.000000,61823.500000,857476,44960.374298,99072.000000,198400.000000,598528,73707.433606,0.000000,0.000000,250511,3323.076775,202.000000,975.000000,42142,798.989050,11993.000000,45152.900000,857004,28960.786242,7466.000000,23739.900000,825402,17589.866322,50,6023,6023,6169,11035,0,6051,0,0,68600,0,52967,0,6051,cloud_official
openai,gpt-5.6-sol,gpt-sol,xhigh,78875,78875,75443,2465,934,33,0.968360,0.031640,0.956488,0.031252,75466,3409,75444,3399,32,2026-08-06 09:18:19,2026-09-19 16:18:16,1707144937,9190243921,7756664,35097295,10940242817,21643.675905,116516.563182,98.341223,444.973629,138703.553940,20805.1605809375,0.2637738267,0.2756143274,0.0044895683,0.2755311493,0.0034986409,8695.5148890000,4706.8056867000,46.1697237500,1003.9396200000,12293.8698870000,6893.3849117500,65.2172371875,1552.6885450000,20805.1605809375,75476,3399,0.842744,0.833217,0.1513172500,0.5792209500,11.6613600000,0.3933534028,2197.000000,73169.000000,638129,49753.734634,119552.000000,215808.000000,641664,77906.212574,0.000000,0.000000,265848,3365.885493,173.000000,1041.000000,40915,911.947191,10911.000000,41921.800000,903356,27780.662999,7018.000000,21152.800000,641400,16387.049498,32,3383,3383,3458,5976,0,3399,0,0,41880,0,33596,0,3399,cloud_official
openai,gpt-5.6-sol,gpt-sol,(unspecified),60480,60480,58086,1196,1075,123,0.979825,0.020175,0.960417,0.019775,58209,2271,58086,2271,123,2026-07-25 02:02:04,2026-09-19 16:07:46,791858547,6327999194,0,27130886,7146988627,13092.899256,104629.616303,0.000000,448.592692,118171.108251,10930.7382685000,0.1807331063,0.1881819762,0.0000000000,0.1877843335,0.0000000000,4021.8963390000,3247.0746280000,0.0000000000,811.2277300000,5175.7795447500,4602.2089050000,0.0000000000,1152.7498187500,10930.7382685000,57642,2838,0.888782,0.861682,0.1093110000,0.3222542000,8.5989700000,0.2783763908,1738.000000,19455.200000,852630,37532.318136,104192.000000,200448.000000,961460,72030.766876,0.000000,0.000000,0,0.000000,196.000000,1029.000000,29628,884.077751,11238.000000,39123.000000,904015,26714.673986,4146.000000,15652.700000,232584,12725.304701,123,2772,2772,3483,55004,0,2838,0,0,53636,0,4040,0,2804,cloud_official
deepseek,deepseek-flash,deepseek-flash,(unspecified),56873,56873,55904,944,14,11,0.983394,0.016606,0.982962,0.016598,55910,963,55904,958,11,2026-09-12 19:35:58,2026-09-19 11:32:51,179945868,9013145340,0,47013382,9240104590,3163.994655,158478.457968,0.000000,826.637983,162469.090605,4921.6045341600,0.0865367491,0.0880367153,0.0000000000,0.0879630158,0.0037303462,359.2767738000,359.8356836800,0.0000000000,374.5774390000,1616.7454821000,1619.2605765600,0.0000000000,1685.5984755000,4921.6045341600,55904,969,0.980426,0.969660,0.0557553600,0.1292932080,5.4960480000,0.1906671721,563.000000,3054.000000,563996,20165.771532,132736.000000,330240.000000,785408,115947.097887,0.000000,0.000000,0,0.000000,429.000000,1800.000000,51022,1371.761993,5956.000000,17381.900000,283714,10602.387543,3641.000000,10003.900000,152436,8180.659039,11,968,968,968,56873,0,969,0,0,194,0,55710,0,969,local_manual
openai,gpt-5.6-terra,gpt-terra,(unspecified),48260,48260,45542,1949,740,29,0.958961,0.041039,0.943680,0.040385,45571,2689,45542,2689,29,2026-07-25 02:18:03,2026-09-19 15:38:19,379742549,3481892138,350390,15871014,3877856091,7868.681082,72148.614546,7.260464,328.864774,80353.420866,3695.4319724875,0.0765733935,0.0811433835,0.0000000000,0.0810917463,0.0000000000,984.3948850000,962.3144277000,0.8759750000,234.0490995000,1641.5890975000,1659.7282383625,1.5329562500,392.5816803750,3695.4319724875,45445,2815,0.901581,0.778022,0.0423924375,0.1433802125,4.1592075000,0.1735910211,959.000000,12579.300000,542626,29046.187177,47616.000000,179084.800000,919040,78452.698545,0.000000,0.000000,239834,1202.134773,121.000000,743.000000,17784,726.504905,8784.000000,41966.000000,902942,28742.428153,6443.500000,24098.100000,194190,16950.287740,29,2748,2748,4965,47422,0,2815,0,0,11083,0,34378,0,2799,local_manual
openai,gpt-5.6-terra,gpt-terra,high,42772,42772,38385,2833,1543,11,0.931268,0.068732,0.897433,0.066235,38396,4376,38385,4376,11,2026-08-07 11:19:18,2026-09-19 16:19:01,597128476,3640363240,6180802,17836205,4261508723,13960.733096,85110.895913,144.505798,417.006570,99633.141378,4115.7220870500,0.0962246817,0.1071840292,0.0005164579,0.1071533223,0.0003343522,1401.1034980000,871.4767958500,15.4877068750,246.5278965000,2261.2597682500,1425.3527326750,25.8511843750,403.2584017500,4115.7220870500,38389,4383,0.857833,0.841515,0.0559352000,0.1803908750,5.0134743750,0.1912057248,1901.000000,30265.700000,624866,37101.119358,74688.500000,182771.200000,630272,71563.523632,0.000000,0.000000,236044,4101.020754,226.000000,918.000000,21157,690.572852,13252.000000,67324.000000,903780,35829.869918,7656.500000,33169.700000,383034,22111.445075,11,4382,4382,4411,5226,0,4383,0,0,16316,0,22073,0,4383,local_manual
openai,gpt-5.6-sol,gpt-sol,max,32769,32769,31480,742,540,7,0.976972,0.023028,0.960664,0.022643,31470,1299,31480,1282,7,2026-08-06 09:14:32,2026-09-19 01:26:07,760900123,3148101559,1597917,25755096,3936354695,23220.120327,96069.503464,48.763069,785.959169,120124.346028,7319.8407252250,0.2233769943,0.2325235300,0.0000000000,0.2325974174,0.0000000000,3687.8477600000,1525.8514763000,8.7736237500,726.0760150000,4348.7847000000,2059.4534289750,8.7736237500,902.8289725000,7319.8407252250,31458,1311,0.805018,0.797232,0.1426500000,0.4851598000,3.2235780000,0.2714722637,4518.000000,74667.400000,320182,45546.860463,91904.000000,191232.000000,256768,67148.494181,0.000000,0.000000,244214,2238.858204,343.000000,1868.000000,27612,1387.617451,16214.000000,65537.400000,904173,40350.631618,9619.000000,43768.100000,606009,30440.905598,7,1307,1307,1318,1582,0,1311,0,0,22090,0,9368,0,1311,cloud_official
openai,gpt-5.6-terra,gpt-terra,max,30128,30128,29286,433,402,7,0.985430,0.014570,0.972053,0.014372,29293,835,29286,835,7,2026-08-06 22:31:17,2026-09-18 09:29:44,787930679,2878261997,630044,22336772,3689159492,26152.770811,95534.452901,20.912241,741.395778,122449.531731,2979.5019013500,0.0988947790,0.1016606747,0.0000000000,0.1016363814,0.0027154271,1616.9540370000,587.2753942500,1.5751100000,273.6302250000,1864.2631323750,764.4781804750,1.5751100000,349.1854785000,2979.5019013500,29314,814,0.784947,0.767388,0.0636220000,0.2116360400,3.0702787500,0.1208853726,8733.500000,79026.400000,320032,45817.165341,89856.000000,195328.000000,275968,69912.274366,0.000000,0.000000,15988,366.166407,361.000000,1749.000000,19187,1184.869123,11980.000000,41852.000000,348968,25700.397996,6342.000000,13195.400000,306578,14413.407047,7,662,662,675,1188,0,814,0,0,28222,0,1092,0,814,cloud_official
openai,gpt-5.6-terra,gpt-terra,medium,24802,24802,21999,1667,1131,5,0.929561,0.070439,0.886985,0.067212,22004,2798,21999,2798,5,2026-08-06 07:57:44,2026-09-19 16:14:49,258057312,1040344213,1420269,7168755,1306990549,10404.697686,41945.980687,57.264293,289.039392,52696.982058,1501.1106985625,0.0605237763,0.0681705507,0.0008558813,0.0681550602,0.0005099193,581.7051035000,235.1132781000,3.5897037500,98.9352180000,937.1420866250,398.3689026875,5.9142137500,159.6854955000,1501.1106985625,22010,2792,0.800374,0.724681,0.0295867500,0.1240465275,4.4719200000,0.1293351182,1607.500000,20755.600000,321212,27474.805062,23296.000000,116480.000000,271616,49422.913389,0.000000,0.000000,236885,2000.638196,166.000000,618.000000,7619,486.185451,10846.000000,66423.400000,270068,32121.646280,6635.000000,35077.000000,237227,20871.589544,5,2791,2791,2865,3516,0,2792,0,0,9487,0,12523,0,2792,local_manual
openai,gpt-5.6-sol,gpt-sol,medium,24335,24335,22257,1419,653,6,0.940066,0.059934,0.914609,0.058311,22276,2059,22271,2058,6,2026-08-06 08:18:38,2026-09-19 16:17:43,450421190,1988916869,1820708,10332484,2451491251,18509.192110,81730.711691,74.818492,424.593548,100739.315841,4653.6754016375,0.1912338361,0.2086820616,0.0003801075,0.2088847776,0.0002710515,2309.8275330000,991.0562636000,9.8541525000,308.0985900000,2940.0519580000,1287.5957597000,11.8880021875,408.0177887500,4647.5535086375,22266,2069,0.814743,0.806996,0.1014200000,0.4127304000,11.3315120000,0.3440952085,2025.000000,59506.200000,777571,44561.010216,72448.000000,179148.800000,442407,66070.445581,0.000000,0.000000,221613,2968.808864,208.000000,903.600000,68320,934.859817,13328.000000,55721.400000,911331,31541.277601,7928.500000,31505.000000,601085,20097.916887,6,2061,2061,2086,2848,0,2069,0,0,12902,0,9364,0,2069,cloud_official
