source,model_raw,model_normalized,reasoning_effort,period_start_cst,period_end_cst,n_calls,n_success,n_failure,success_rate,sum_input_tokens,sum_cache_read_tokens,sum_cache_write_tokens,sum_output_tokens,sum_total_tokens,avg_input_tokens,avg_cache_read_tokens,avg_cache_write_tokens,avg_output_tokens,avg_total_tokens,native_cost_total,native_cost_avg,cost_unit,p50_native_cost,p90_native_cost,p50_total_tokens,p90_total_tokens,p50_latency_ms,p90_latency_ms,p50_ttfb_ms,p90_ttfb_ms
cch,gpt-5.6-sol,gpt-5.6-sol,high,2026-08-06 08:02:06,2026-09-19 16:15:20,127618,121503,4137,0.967073,2483567859,13036608902,12228534,54929358,15587334653,19460.952679,102153.371013,95.821389,430.420144,122140.565226,29539.0889605500,0.2314649106,USD,0.1245980000,0.5055662950,,,11993.000000,45152.900000,7466.000000,23739.900000
cch,gpt-5.6-sol,gpt-5.6-sol,xhigh,2026-08-06 09:18:19,2026-09-19 16:18:16,78875,75443,2465,0.968360,1707144937,9190243921,7756664,35097295,10940242817,21643.675905,116516.563182,98.341223,444.973629,138703.553940,20805.1605809375,0.2637738267,USD,0.1513172500,0.5792209500,,,10911.000000,41921.800000,7018.000000,21152.800000
cch,gpt-5.6-sol,gpt-5.6-sol,(unspecified),2026-07-25 02:02:04,2026-09-19 16:07:46,60480,58086,1196,0.979825,791858547,6327999194,0,27130886,7146988627,13092.899256,104629.616303,0.000000,448.592692,118171.108251,10930.7382685000,0.1807331063,USD,0.1093110000,0.3222542000,,,11238.000000,39123.000000,4146.000000,15652.700000
cch,gpt-5.6-terra,gpt-5.6-terra,(unspecified),2026-07-25 02:18:03,2026-09-19 15:38:19,48260,45542,1949,0.958961,379742549,3481892138,350390,15871014,3877856091,7868.681082,72148.614546,7.260464,328.864774,80353.420866,3695.4319724875,0.0765733935,USD,0.0423924375,0.1433802125,,,8784.000000,41966.000000,6443.500000,24098.100000
cch,gpt-5.6-terra,gpt-5.6-terra,high,2026-08-07 11:19:18,2026-09-19 16:19:01,42772,38385,2833,0.931268,597128476,3640363240,6180802,17836205,4261508723,13960.733096,85110.895913,144.505798,417.006570,99633.141378,4115.7220870500,0.0962246817,USD,0.0559352000,0.1803908750,,,13252.000000,67324.000000,7656.500000,33169.700000
cch,gpt-5.6-sol,gpt-5.6-sol,max,2026-08-06 09:14:32,2026-09-19 01:26:07,32769,31480,742,0.976972,760900123,3148101559,1597917,25755096,3936354695,23220.120327,96069.503464,48.763069,785.959169,120124.346028,7319.8407252250,0.2233769943,USD,0.1426500000,0.4851598000,,,16214.000000,65537.400000,9619.000000,43768.100000
cch,gpt-5.6-terra,gpt-5.6-terra,max,2026-08-06 22:31:17,2026-09-18 09:29:44,30128,29286,433,0.985430,787930679,2878261997,630044,22336772,3689159492,26152.770811,95534.452901,20.912241,741.395778,122449.531731,2979.5019013500,0.0988947790,USD,0.0636220000,0.2116360400,,,11980.000000,41852.000000,6342.000000,13195.400000
cch,gpt-5.6-terra,gpt-5.6-terra,medium,2026-08-06 07:57:44,2026-09-19 16:14:49,24802,21999,1667,0.929561,258057312,1040344213,1420269,7168755,1306990549,10404.697686,41945.980687,57.264293,289.039392,52696.982058,1501.1106985625,0.0605237763,USD,0.0295867500,0.1240465275,,,10846.000000,66423.400000,6635.000000,35077.000000
cch,gpt-5.6-sol,gpt-5.6-sol,medium,2026-08-06 08:18:38,2026-09-19 16:17:43,24335,22257,1419,0.940066,450421190,1988916869,1820708,10332484,2451491251,18509.192110,81730.711691,74.818492,424.593548,100739.315841,4653.6754016375,0.1912338361,USD,0.1014200000,0.4127304000,,,13328.000000,55721.400000,7928.500000,31505.000000
cch,gpt-5.6-luna,gpt-5.6-luna,(unspecified),2026-07-25 02:34:26,2026-09-16 11:03:18,22963,22078,591,0.973929,294167154,2563318664,0,12832128,2870317946,12810.484431,111628.213387,0.000000,558.817576,124997.515394,206.0237267300,0.0089719865,USD,0.0050992800,0.0136862240,,,11625.000000,36513.200000,4121.500000,17195.000000
cch,gpt-5.6-terra,gpt-5.6-terra,low,2026-08-07 14:00:43,2026-09-19 16:18:05,17590,15744,1076,0.936029,307759366,1100739459,1748462,2858712,1413105999,17496.268675,62577.570153,99.400910,162.519159,80335.758897,1489.7709182625,0.0846941966,USD,0.0378481250,0.1672763750,,,7129.000000,55283.900000,5361.000000,20534.000000
cch,gpt-5.5,gpt-5.5,high,2026-08-06 08:59:19,2026-09-19 15:29:51,15501,13767,1083,0.927071,221623413,1360727184,0,10862506,1593213103,14297.362299,87783.187149,0.000000,700.761628,102781.311077,3387.3672131250,0.2185257218,USD,0.1554310000,0.3950770000,,,21315.000000,85714.500000,14084.000000,52450.200000
cch,gpt-6-astra,gpt-6-astra,xhigh,2026-09-05 15:17:15,2026-09-19 10:24:49,15291,12948,1311,0.908058,264749758,1032489563,278525,7119986,1304637832,17314.090511,67522.697208,18.214963,465.632464,85320.635145,5461.1321072500,0.3571468254,USD,0.1853840000,0.8947860000,,,26777.500000,125002.300000,17315.000000,70828.100000
cch,gpt-5.5,gpt-5.5,(unspecified),2026-07-25 02:02:02,2026-09-19 11:16:25,15093,13446,600,0.957283,179617362,1309343934,0,8486574,1497447870,11900.706420,86751.734844,0.000000,562.285430,99214.726694,2668.0651237500,0.1767750032,USD,0.1181830000,0.3085820000,,,14769.500000,47567.300000,7440.000000,24973.800000
